method_id,config_name,sweep,n_train_seeds,mean_d_Q1_mean,mean_d_Q1_std,s10_Q1_mean,s10_Q1_std,mean_d_Q3_mean,mean_d_Q3_std,s10_Q3_mean,s10_Q3_std,overall,M_id,category,display_name
distill/FB_contrastive_current,FB_contrastive_current,distill,3,0.82601,0.05901,0.0001,0.0,0.19532,0.0819,0.3519,0.1557,0.510665,M89,Distillation,FB_contrastive_current
z_sampling/C4_smr_pi,C4_smr_pi,z_sampling,3,0.74392,0.00913,0.0,0.0,0.28039,0.01657,0.1282,0.0199,0.512155,M90,SMR z-sampling,C4_smr_pi
vmf_sweep/vmfMix5_Fpi_replay,vmfMix5_Fpi_replay,vmf_sweep,3,0.73861,0.016,0.0,0.0,0.29745,0.11447,0.2017,0.106,0.51803,M91,vMF sweep,vmfMix5_Fpi_replay
z_sampling/A1_vmf_bind,A1_vmf_bind,z_sampling,3,0.77571,0.02874,0.0,0.0,0.26594,0.11561,0.2381,0.1299,0.520825,M92,vMF z-sampling,A1_vmf_bind
z_sampling/C2_smr_B,C2_smr_B,z_sampling,3,0.7858,0.01487,0.0,0.0,0.27445,0.02113,0.1526,0.0302,0.5301250000000001,M93,SMR z-sampling,C2_smr_B
naive_seq_z32,naive_seq_z32,baseline,1,0.75018,0.0,0.0001,0.0,0.31421,0.0,0.1714,0.0,0.532195,M94,Baseline,naive_seq_z32
distill/Q_l2_current,Q_l2_current,distill,3,0.82456,0.03758,0.0,0.0,0.24627,0.01911,0.2584,0.062,0.535415,M95,Distillation,Q_l2_current
distill/FB_contrastive_replay,FB_contrastive_replay,distill,3,0.72922,0.01388,0.0,0.0,0.34599,0.27899,0.2932,0.2074,0.537605,M96,Distillation,FB_contrastive_replay
distill/M_l2_replay,M_l2_replay,distill,3,0.73541,0.07191,0.0002,0.0003,0.34841,0.04794,0.0824,0.0425,0.54191,M97,Distillation,M_l2_replay
distill/M_l2_current,M_l2_current,distill,3,0.82965,0.03824,0.0001,0.0,0.2768,0.05172,0.0968,0.0141,0.553225,M98,Distillation,M_l2_current
distill/pi_cosine_current,pi_cosine_current,distill,3,0.75264,0.01508,0.0,0.0,0.35658,0.27972,0.2983,0.2114,0.55461,M99,Distillation,pi_cosine_current
distill/pi_contrastive_current,pi_contrastive_current,distill,3,0.77072,0.0199,0.0001,0.0,0.34695,0.01772,0.0454,0.0097,0.558835,M100,Distillation,pi_contrastive_current
distill_combined/piGram_FBM_current,piGram_FBM_current,distill_combined,3,0.79056,0.2538,0.0026,0.002,0.33105,0.09674,0.0756,0.0489,0.560805,M101,Distill combined,piGram_FBM_current
distill/FB_cosine_replay,FB_cosine_replay,distill,3,0.7144,0.06697,0.0004,0.0005,0.42496,0.2418,0.1894,0.1623,0.56968,M102,Distillation,FB_cosine_replay
distill/Q_gram_current,Q_gram_current,distill,3,0.7419,0.16302,0.0082,0.0096,0.55204,0.10855,0.023,0.0215,0.64697,M103,Distillation,Q_gram_current
distill/FB_gram_replay,FB_gram_replay,distill,3,0.70828,0.04559,0.0,0.0,0.6307,0.05159,0.0031,0.0019,0.66949,M104,Distillation,FB_gram_replay
distill/M_gram_current,M_gram_current,distill,3,0.70984,0.09882,0.0041,0.0049,0.6406,0.08275,0.0012,0.0016,0.6752199999999999,M105,Distillation,M_gram_current
distill/F_gram_replay,F_gram_replay,distill,3,0.71794,0.04185,0.0004,0.0006,0.64522,0.07977,0.0168,0.0145,0.6815800000000001,M106,Distillation,F_gram_replay
distill/Q_gram_replay,Q_gram_replay,distill,3,0.72946,0.01066,0.0001,0.0001,0.64319,0.06511,0.0127,0.0092,0.6863250000000001,M107,Distillation,Q_gram_replay
distill/M_gram_replay,M_gram_replay,distill,3,0.6707,0.0418,0.0016,0.0018,0.75351,0.03072,0.0028,0.0014,0.712105,M108,Distillation,M_gram_replay
distill/F_gram_current,F_gram_current,distill,3,0.65493,0.07663,0.0,0.0,0.87767,0.06417,0.0,0.0,0.7663,M109,Distillation,F_gram_current
distill/FB_gram_current,FB_gram_current,distill,3,0.67428,0.08673,0.0101,0.0143,0.89025,0.03336,0.0,0.0,0.782265,M110,Distillation,FB_gram_current
